analysis_date,window,density_fraction,density_percent,network_id,n_nodes,n_edges,mean_degree,isolated_node_share,connected_component_count,giant_component_share,degree_gini,strength_gini,top1pct_degree_share,top5pct_degree_share,top1pct_strength_share,top5pct_strength_share,industry_labeled_edge_count,same_industry_edge_share,industry_enrichment
2019-04-30,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3237,52230,32.27062094531974,0.019462465245597776,65,0.9799196787148594,0.5699898224690096,0.5994385205701809,0.058271108558299825,0.23546812176909823,0.06772051032756596,0.2627450498473711,52230,0.31388091135362817,6.220850084922324
2019-05-31,252,0.01,1.0,B0_RAW_POSITIVE,3300,54285,32.9,0.39,1307,0.5933333333333334,0.8277958083180521,0.8284961496306198,0.15292438058395505,0.4842221608179055,0.154885503315164,0.48632653360653566,54285,0.16474164133738603,3.2568774123402315
2019-05-31,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3300,54285,32.9,0.01606060606060606,55,0.9833333333333333,0.5722404202288149,0.6012497057088699,0.058653403334254395,0.23792944644008474,0.06741412436193189,0.26363355339259387,54285,0.31017776549691445,6.132092348091783
2019-06-28,252,0.01,1.0,B0_RAW_POSITIVE,3356,56166,33.471990464839095,0.4022646007151371,1372,0.5801549463647199,0.8320934576829275,0.8327881326251616,0.15772887512017947,0.49126695865826303,0.15967117496861777,0.49366842563470126,56166,0.1598119858989424,3.1555806416329304
2019-06-28,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3356,56166,33.471990464839095,0.01728247914183552,60,0.9821215733015495,0.5697920734454911,0.5987129021589261,0.06059715842324538,0.2378396182744009,0.06959178560208469,0.2630176508628484,56166,0.30682263290958944,6.058391398981763
2019-07-31,252,0.01,1.0,B0_RAW_POSITIVE,3401,57735,33.95177888856219,0.36989120846809764,1280,0.6136430461628932,0.8271050035538634,0.8279279060174454,0.1575560751710401,0.4880575041136226,0.15956470570785072,0.49050853552598167,57735,0.1678531220230363,3.3022759144589355
2019-07-31,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3401,57735,33.95177888856219,0.014701558365186709,51,0.9852984416348133,0.5577896067583321,0.5868484836221455,0.05888975491469646,0.22942755694119685,0.06695591905462323,0.25392057907254834,57735,0.31842036892699405,6.264476360686521
2019-08-30,252,0.01,1.0,B0_RAW_POSITIVE,3451,59421,34.436974789915965,0.3903216458997392,1372,0.5908432338452623,0.8357549122332939,0.8366265367079613,0.1548190033826425,0.49405933929082313,0.15701528320899344,0.4966982494203676,59421,0.1562074014237391,3.0895126272231304
2019-08-30,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3451,59421,34.436974789915965,0.008693132425383946,31,0.9913068675746161,0.5510779475917296,0.580403993340084,0.06077817606570068,0.23296477676242405,0.06903317349633908,0.25686985894963293,59421,0.3069116978845863,6.070183342239628
2019-09-30,252,0.01,1.0,B0_RAW_POSITIVE,3482,60536,34.77082136703044,0.39718552556002296,1407,0.585295807007467,0.8382872151039458,0.83920841838849,0.15244647812871678,0.49720001321527685,0.154791272885453,0.4999176897124232,60536,0.15485000660763842,3.07278031137477
