analysis_date,previous_analysis_date,window,factor_name,method,portfolio_leg,status,previous_n,current_n,union_n,pass_drift_n,delist_cash_carry_n,pretrade_weight_sum,target_weight_sum,turnover,buy_weight,sell_weight,total_abs_trade_weight,trade_notional_per_100m_cny,trade_notional_per_1bn_cny
2024-10-31,2024-09-30,252,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1003,1005,1403,1003,0,1.0,0.9999999999999999,0.4403398380629895,0.4403398380629894,0.4403398380629895,0.880679676125979,88067967.6125979,880679676.125979
2024-10-31,2024-09-30,252,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1003,1005,1341,1003,0,1.0000000000000002,0.9999999999999999,0.3685102608602093,0.3685102608602092,0.3685102608602093,0.7370205217204187,73702052.17204186,737020521.7204187
2024-10-31,2024-09-30,252,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1003,1005,1206,1003,0,1.0000000000000002,0.9999999999999998,0.2576165397086021,0.25761653970860193,0.25761653970860215,0.5152330794172042,51523307.94172042,515233079.4172042
2024-10-31,2024-09-30,252,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1003,1005,1172,1003,0,1.0,0.9999999999999999,0.20704274982640022,0.20704274982640025,0.20704274982640025,0.41408549965280045,41408549.96528005,414085499.65280044
2024-11-29,2024-10-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1010,1007,1464,1010,0,1.0,1.0,0.4762474401701008,0.47624744017010073,0.4762474401701008,0.9524948803402016,95249488.03402016,952494880.3402016
2024-11-29,2024-10-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1009,1007,1362,1009,0,1.0,1.0,0.3810103954337136,0.3810103954337136,0.3810103954337137,0.7620207908674272,76202079.08674273,762020790.8674272
2024-11-29,2024-10-31,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,996,992,1449,996,0,1.0,1.0,0.48555558168727975,0.48555558168727964,0.48555558168727986,0.9711111633745595,97111116.33745594,971111163.3745595
2024-11-29,2024-10-31,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,996,991,1425,996,0,1.0,1.0,0.46258495629111407,0.46258495629111407,0.462584956291114,0.9251699125822281,92516991.25822282,925169912.5822282
2024-11-29,2024-10-31,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1009,1006,1848,1009,0,0.9999999999999999,1.0,0.8413231550060478,0.8413231550060476,0.8413231550060476,1.6826463100120956,168264631.00120956,1682646310.0120957
2024-11-29,2024-10-31,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1009,1006,1917,1009,0,1.0,0.9999999999999999,0.9063005065672042,0.9063005065672041,0.9063005065672042,1.8126010131344084,181260101.31344083,1812601013.1344085
2024-11-29,2024-10-31,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1010,1007,1431,1010,0,1.0,1.0,0.4443286055681176,0.44432860556811765,0.4443286055681176,0.8886572111362352,88865721.11362351,888657211.1362352
2024-11-29,2024-10-31,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1009,1007,1445,1009,0,0.9999999999999998,0.9999999999999999,0.46218527254551633,0.46218527254551633,0.46218527254551633,0.9243705450910327,92437054.50910327,924370545.0910326
2024-11-29,2024-10-31,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1009,1006,1819,1009,0,0.9999999999999998,1.0,0.8125656061580837,0.8125656061580837,0.8125656061580836,1.6251312123161674,162513121.23161674,1625131212.3161674
2024-11-29,2024-10-31,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1009,1006,1894,1009,0,1.0,1.0,0.8841439836404643,0.8841439836404641,0.8841439836404643,1.7682879672809286,176828796.72809285,1768287967.2809286
2024-11-29,2024-10-31,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1009,1002,1695,1009,0,1.0,1.0000000000000002,0.7008775386582087,0.7008775386582087,0.7008775386582087,1.4017550773164174,140175507.73164174,1401755077.3164175
2024-11-29,2024-10-31,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1009,1001,1748,1009,0,0.9999999999999999,1.0,0.7527706945611075,0.7527706945611076,0.7527706945611075,1.505541389122215,150554138.9122215,1505541389.1222148
2024-11-29,2024-10-31,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1006,993,1691,1006,0,0.9999999999999999,1.0,0.704920528096465,0.704920528096465,0.704920528096465,1.40984105619293,140984105.619293,1409841056.19293
2024-11-29,2024-10-31,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1006,993,1639,1006,0,1.0,1.0,0.6578403774948446,0.6578403774948446,0.6578403774948447,1.3156807549896892,131568075.49896891,1315680754.989689
2024-11-29,2024-10-31,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1010,1007,1556,1010,0,1.0,1.0,0.5663156109620295,0.5663156109620295,0.5663156109620295,1.132631221924059,113263122.19240591,1132631221.9240592
2024-11-29,2024-10-31,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1009,1007,1494,1009,0,1.0,1.0,0.5032382386555199,0.5032382386555199,0.5032382386555199,1.0064764773110397,100647647.73110397,1006476477.3110397
2024-11-29,2024-10-31,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1010,1007,1442,1010,0,1.0,1.0,0.45542517357937534,0.4554251735793753,0.4554251735793754,0.9108503471587507,91085034.71587507,910850347.1587507
2024-11-29,2024-10-31,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1009,1007,1368,1009,0,1.0,0.9999999999999998,0.38805374899395545,0.3880537489939554,0.3880537489939555,0.7761074979879109,77610749.7987911,776107497.9879109
2024-11-29,2024-10-31,120,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1013,1013,1354,1013,0,1.0,0.9999999999999999,0.3653664275486856,0.36536642754868554,0.36536642754868565,0.7307328550973712,73073285.50973712,730732855.0973712
2024-11-29,2024-10-31,120,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1013,1013,1281,1013,0,0.9999999999999999,1.0,0.2979275419217539,0.29792754192175386,0.29792754192175386,0.5958550838435078,59585508.384350784,595855083.8435079
2024-11-29,2024-10-31,120,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,981,983,1339,981,0,1.0,1.0,0.3919342397988661,0.3919342397988661,0.3919342397988661,0.7838684795977322,78386847.95977323,783868479.5977322
2024-11-29,2024-10-31,120,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,981,983,1309,981,0,1.0,1.0,0.3660841827293471,0.3660841827293472,0.3660841827293472,0.7321683654586942,73216836.54586942,732168365.4586942
2024-11-29,2024-10-31,120,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1013,1013,1830,1013,0,0.9999999999999998,1.0,0.8143497832167632,0.8143497832167633,0.8143497832167632,1.6286995664335264,162869956.64335263,1628699566.4335265
2024-11-29,2024-10-31,120,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1013,1013,1835,1013,0,1.0,1.0,0.8189442234625539,0.8189442234625537,0.8189442234625538,1.6378884469251078,163788844.69251078,1637888446.9251077
2024-11-29,2024-10-31,120,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1013,1013,1344,1013,0,0.9999999999999998,1.0,0.35592083437656996,0.35592083437656996,0.3559208343765699,0.7118416687531399,71184166.875314,711841668.75314
2024-11-29,2024-10-31,120,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1013,1013,1375,1013,0,1.0,0.9999999999999999,0.38610111053263435,0.38610111053263435,0.3861011105326344,0.7722022210652687,77220222.10652687,772202221.0652688
2024-11-29,2024-10-31,120,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1013,1013,1823,1013,0,0.9999999999999999,0.9999999999999999,0.8080936516762958,0.8080936516762957,0.8080936516762955,1.6161873033525915,161618730.33525914,1616187303.3525915
2024-11-29,2024-10-31,120,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1013,1013,1836,1013,0,1.0,1.0,0.8199570425501026,0.8199570425501026,0.8199570425501025,1.6399140851002052,163991408.51002052,1639914085.1002052
