analysis_date,window,factor_name,method,portfolio_leg,canonical_status,canonical_turnover,delist_cash_carry_n,pre_audit_status,pre_audit_turnover,status_transition,turnover_difference
2025-10-31,252,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.38118173617681017,0,PASS,0.3811817361768101,PASS -> PASS,5.551115123125783e-17
2025-10-31,252,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.782740732349384,0,PASS,0.782740732349384,PASS -> PASS,0.0
2025-10-31,252,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.7632208407468053,0,PASS,0.7632208407468053,PASS -> PASS,0.0
2025-10-31,252,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.6238361302381998,0,PASS,0.6238361302381998,PASS -> PASS,0.0
2025-10-31,252,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.6405045303328272,0,PASS,0.6405045303328272,PASS -> PASS,0.0
2025-10-31,252,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.7570232234949935,0,PASS,0.7570232234949935,PASS -> PASS,0.0
2025-10-31,252,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.7425367351996812,0,PASS,0.7425367351996812,PASS -> PASS,0.0
2025-10-31,252,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.36258977122962227,0,PASS,0.3625897712296222,PASS -> PASS,5.551115123125783e-17
2025-10-31,252,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.3430477701475848,0,PASS,0.3430477701475848,PASS -> PASS,0.0
2025-10-31,252,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.23670734402413746,0,PASS,0.2367073440241374,PASS -> PASS,5.551115123125783e-17
2025-10-31,252,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.22354841585889068,0,PASS,0.2235484158588906,PASS -> PASS,8.326672684688674e-17
2025-11-28,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.4418124590386405,0,PASS,0.4418124590386405,PASS -> PASS,0.0
2025-11-28,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.37849538018185624,0,PASS,0.3784953801818562,PASS -> PASS,5.551115123125783e-17
2025-11-28,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.39547119760651106,0,PASS,0.395471197606511,PASS -> PASS,5.551115123125783e-17
2025-11-28,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.3661215686753002,0,PASS,0.3661215686753002,PASS -> PASS,0.0
2025-11-28,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.8161626634332892,0,PASS,0.8161626634332892,PASS -> PASS,0.0
2025-11-28,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.800461646445579,0,PASS,0.800461646445579,PASS -> PASS,0.0
2025-11-28,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.4505476832151427,0,PASS,0.4505476832151427,PASS -> PASS,0.0
2025-11-28,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.4957887855681241,0,PASS,0.4957887855681241,PASS -> PASS,0.0
2025-11-28,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.8000011874590298,0,PASS,0.8000011874590298,PASS -> PASS,0.0
2025-11-28,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.7844456989180435,0,PASS,0.7844456989180435,PASS -> PASS,0.0
2025-11-28,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.6988222513105503,0,PASS,0.6988222513105503,PASS -> PASS,0.0
2025-11-28,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.6275800360722337,0,PASS,0.6275800360722337,PASS -> PASS,0.0
2025-11-28,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.721767896487135,0,PASS,0.721767896487135,PASS -> PASS,0.0
2025-11-28,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.6905525817873247,0,PASS,0.6905525817873247,PASS -> PASS,0.0
2025-11-28,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.5573412746886605,0,PASS,0.5573412746886605,PASS -> PASS,0.0
2025-11-28,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.502068939091525,0,PASS,0.502068939091525,PASS -> PASS,0.0
2025-11-28,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.3809121709628674,0,PASS,0.3809121709628674,PASS -> PASS,0.0
2025-11-28,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.34456707962538086,0,PASS,0.3445670796253808,PASS -> PASS,5.551115123125783e-17
2025-11-28,120,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.3197080901779822,0,PASS,0.3197080901779822,PASS -> PASS,0.0
2025-11-28,120,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.23754151292022854,0,PASS,0.2375415129202285,PASS -> PASS,5.551115123125783e-17
2025-11-28,120,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.31858958874822557,0,PASS,0.3185895887482255,PASS -> PASS,5.551115123125783e-17
2025-11-28,120,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.29715450749437866,0,PASS,0.2971545074943786,PASS -> PASS,5.551115123125783e-17
2025-11-28,120,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.7865685881234501,0,PASS,0.7865685881234501,PASS -> PASS,0.0
2025-11-28,120,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.7976338287920355,0,PASS,0.7976338287920355,PASS -> PASS,0.0
2025-11-28,120,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.3297067150841525,0,PASS,0.3297067150841525,PASS -> PASS,0.0
2025-11-28,120,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.3747216108955625,0,PASS,0.3747216108955625,PASS -> PASS,0.0
2025-11-28,120,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.7796288184007953,0,PASS,0.7796288184007953,PASS -> PASS,0.0
2025-11-28,120,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.7772196337107344,0,PASS,0.7772196337107344,PASS -> PASS,0.0
2025-11-28,120,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.6101695109840661,0,PASS,0.6101695109840661,PASS -> PASS,0.0
2025-11-28,120,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.5948255998243603,0,PASS,0.5948255998243603,PASS -> PASS,0.0
2025-11-28,120,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.6683095576338505,0,PASS,0.6683095576338505,PASS -> PASS,0.0
2025-11-28,120,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.656969522855144,0,PASS,0.656969522855144,PASS -> PASS,0.0
2025-11-28,120,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.44301335528924146,0,PASS,0.4430133552892414,PASS -> PASS,5.551115123125783e-17
2025-11-28,120,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.4239024610880817,0,PASS,0.4239024610880817,PASS -> PASS,0.0
2025-11-28,120,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.2665962499235585,0,PASS,0.2665962499235585,PASS -> PASS,0.0
2025-11-28,120,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.2287523540991241,0,PASS,0.2287523540991241,PASS -> PASS,0.0
2025-11-28,252,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.27713008981528897,1,INCOMPLETE_DEDICATED_DRIFT_RETURN,,INCOMPLETE_DEDICATED_DRIFT_RETURN -> PASS,
2025-11-28,252,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.20277404564486456,0,PASS,0.2027740456448645,PASS -> PASS,5.551115123125783e-17
2025-11-28,252,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.27298754116265284,0,PASS,0.2729875411626528,PASS -> PASS,5.551115123125783e-17
2025-11-28,252,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.23599805238258242,0,PASS,0.2359980523825824,PASS -> PASS,2.7755575615628914e-17
2025-11-28,252,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.7542962524735084,0,PASS,0.7542962524735084,PASS -> PASS,0.0
2025-11-28,252,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.773886903745492,0,PASS,0.773886903745492,PASS -> PASS,0.0
2025-11-28,252,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.2054658154164809,0,PASS,0.2054658154164809,PASS -> PASS,0.0
2025-11-28,252,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.24563085856442562,1,INCOMPLETE_DEDICATED_DRIFT_RETURN,,INCOMPLETE_DEDICATED_DRIFT_RETURN -> PASS,
2025-11-28,252,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.72205862654995,0,PASS,0.72205862654995,PASS -> PASS,0.0
2025-11-28,252,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.741775897207942,0,PASS,0.741775897207942,PASS -> PASS,0.0
2025-11-28,252,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.6090860806769258,1,INCOMPLETE_DEDICATED_DRIFT_RETURN,,INCOMPLETE_DEDICATED_DRIFT_RETURN -> PASS,
2025-11-28,252,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.5993945266616303,0,PASS,0.5993945266616303,PASS -> PASS,0.0
2025-11-28,252,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.6974195712209238,0,PASS,0.6974195712209238,PASS -> PASS,0.0
2025-11-28,252,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.7489552620025837,0,PASS,0.7489552620025837,PASS -> PASS,0.0
2025-11-28,252,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.36242955405105376,1,INCOMPLETE_DEDICATED_DRIFT_RETURN,,INCOMPLETE_DEDICATED_DRIFT_RETURN -> PASS,
2025-11-28,252,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.28034009520638187,0,PASS,0.2803400952063818,PASS -> PASS,5.551115123125783e-17
2025-11-28,252,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.22216816064883993,0,PASS,0.2221681606488399,PASS -> PASS,2.7755575615628914e-17
2025-11-28,252,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.20070872706052095,0,PASS,0.2007087270605209,PASS -> PASS,5.551115123125783e-17
2025-12-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.48126231004582276,0,PASS,0.4812623100458227,PASS -> PASS,5.551115123125783e-17
2025-12-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.3689389620655208,0,PASS,0.3689389620655208,PASS -> PASS,0.0
2025-12-31,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.4408059063515382,0,PASS,0.4408059063515382,PASS -> PASS,0.0
2025-12-31,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.3891033285194303,1,INCOMPLETE_DEDICATED_DRIFT_RETURN,,INCOMPLETE_DEDICATED_DRIFT_RETURN -> PASS,
